id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7482884,2010-01-02 22:15:00,1052,3651,243.72,Swipe Transaction,30037,Pinole,CA,94564.0,8011,Bad PIN
7483029,2010-01-03 00:06:00,605,5061,3.39,Swipe Transaction,92883,Brooklyn,NY,11210.0,5812,Technical Glitch
7483200,2010-01-03 05:31:00,891,2141,88.0,Swipe Transaction,59935,Van Buren,AR,72956.0,5499,Insufficient Balance
7483220,2010-01-03 05:47:00,1384,3723,108.41,Swipe Transaction,44795,Anchorage,AK,99504.0,3780,Insufficient Balance
7483249,2010-01-03 06:03:00,205,2861,-71.0,Swipe Transaction,43293,Great Falls,MT,59404.0,5499,Insufficient Balance
7483264,2010-01-03 06:07:00,1692,3646,23.68,Online Transaction,39021,ONLINE,,,4784,Bad Card Number
7483310,2010-01-03 06:20:00,1849,5904,4.63,Swipe Transaction,86058,Tacoma,WA,98445.0,5411,Bad PIN
7483692,2010-01-03 07:42:00,1898,5122,134.43,Swipe Transaction,26909,New Brockton,AL,36351.0,5211,Insufficient Balance
7483878,2010-01-03 08:21:00,137,5442,61.53,Swipe Transaction,79927,Johnson City,TN,37604.0,5912,Insufficient Balance
7483953,2010-01-03 08:37:00,1659,185,36.47,Swipe Transaction,63683,Wauconda,IL,60084.0,4121,Insufficient Balance
7484034,2010-01-03 08:54:00,1296,3708,18.34,Online Transaction,16798,ONLINE,,,4121,Insufficient Balance
7484037,2010-01-03 08:55:00,1194,4614,77.73,Swipe Transaction,66330,Chattanooga,TN,37416.0,7230,Insufficient Balance
7484200,2010-01-03 09:31:00,877,3877,106.36,Swipe Transaction,99370,Mesa,AZ,85203.0,5311,Insufficient Balance
7484259,2010-01-03 09:47:00,877,3877,77.96,Swipe Transaction,99370,Mesa,AZ,85203.0,5311,Insufficient Balance
7484288,2010-01-03 09:54:00,1769,43,2.88,Swipe Transaction,69972,Manahawkin,NJ,8050.0,5814,Technical Glitch
7484417,2010-01-03 10:20:00,810,2149,1.72,Swipe Transaction,75936,Springfield,KY,40069.0,5814,Bad PIN
7484431,2010-01-03 10:23:00,1642,4281,42.02,Swipe Transaction,79292,Lavallette,NJ,8735.0,7230,Technical Glitch
7484497,2010-01-03 10:37:00,291,3221,59.61,Online Transaction,39021,ONLINE,,,4784,Bad Expiration
7484504,2010-01-03 10:38:00,425,5149,8.15,Swipe Transaction,75781,Monterey,CA,93940.0,5411,Insufficient Balance
7484514,2010-01-03 10:41:00,751,5552,164.92,Online Transaction,9932,ONLINE,,,5311,Insufficient Balance
7484586,2010-01-03 10:58:00,140,4150,13.21,Online Transaction,18563,ONLINE,,,4121,Bad Expiration
7484604,2010-01-03 11:01:00,798,5870,29.19,Swipe Transaction,87517,Murrieta,CA,92563.0,5411,Insufficient Balance
7484659,2010-01-03 11:14:00,1834,1119,7.36,Swipe Transaction,12829,Lubbock,TX,79413.0,5912,Technical Glitch
7484711,2010-01-03 11:24:00,1989,3800,57.6,Swipe Transaction,43293,Upper Marlboro,MD,20774.0,5499,Insufficient Balance
7484720,2010-01-03 11:25:00,1989,3800,57.6,Swipe Transaction,43293,Upper Marlboro,MD,20774.0,5499,Insufficient Balance
7484940,2010-01-03 12:15:00,1067,1063,14.67,Swipe Transaction,75781,Derby,KS,67037.0,5411,Insufficient Balance
7485105,2010-01-03 12:51:00,122,2134,80.0,Swipe Transaction,27092,Covington,LA,70433.0,4829,Insufficient Balance
7485210,2010-01-03 13:14:00,992,5007,131.06,Swipe Transaction,2728,Chesterfield,VA,23832.0,4900,Technical Glitch
7485311,2010-01-03 13:34:00,112,1134,90.26,Swipe Transaction,20970,Atlanta,GA,30324.0,5621,Insufficient Balance
7485374,2010-01-03 13:47:00,1921,1181,-88.0,Swipe Transaction,59935,Danielsville,GA,30633.0,5499,Insufficient Balance
7485425,2010-01-03 13:58:00,779,119,71.46,Swipe Transaction,50783,Richardson,TX,75080.0,5411,Insufficient Balance
7485445,2010-01-03 14:03:00,1769,43,100.0,Swipe Transaction,27092,Runnemede,NJ,8078.0,4829,Bad PIN
7485446,2010-01-03 14:04:00,154,159,2.89,Swipe Transaction,54234,Fayetteville,NC,28312.0,7230,Bad PIN
7485489,2010-01-03 14:13:00,373,261,-89.0,Swipe Transaction,22204,Huntington,IN,46750.0,5541,Insufficient Balance
7485597,2010-01-03 14:43:00,450,5176,94.27,Swipe Transaction,34659,Newport News,VA,23602.0,5300,Insufficient Balance
7485599,2010-01-03 14:43:00,1369,3365,63.46,Swipe Transaction,30286,Greenfield,IN,46140.0,4814,Insufficient Balance
7485654,2010-01-03 14:55:00,1917,5556,146.59,Swipe Transaction,50783,Sayville,NY,11782.0,5411,Insufficient Balance
7485688,2010-01-03 15:07:00,976,2169,42.93,Swipe Transaction,27601,Norwalk,CT,6854.0,7538,Technical Glitch
7485837,2010-01-03 15:38:00,1992,3797,57.59,Swipe Transaction,81477,Poplar Bluff,MO,63901.0,5311,Insufficient Balance
7485965,2010-01-03 16:08:00,1490,5950,86.13,Swipe Transaction,51840,Commerce City,CO,80022.0,4900,Insufficient Balance
7486000,2010-01-03 16:17:00,1551,1114,64.98,Online Transaction,96246,ONLINE,,,4784,Insufficient Balance
7486005,2010-01-03 16:18:00,1295,3318,44.54,Online Transaction,81759,ONLINE,,,7349,Insufficient Balance
7486147,2010-01-03 16:48:00,1091,191,124.31,Swipe Transaction,48741,Baltimore,MD,21224.0,5912,Insufficient Balance
7486245,2010-01-03 17:24:00,1985,4085,1.6,Swipe Transaction,14528,Alpharetta,GA,30022.0,5499,Bad PIN
7486441,2010-01-03 18:52:00,932,1121,59.44,Swipe Transaction,17493,Heflin,LA,71039.0,5812,Insufficient Balance
7486496,2010-01-03 19:17:00,1155,2997,75.12,Swipe Transaction,50783,Tucson,AZ,85706.0,5411,Insufficient Balance
7486635,2010-01-03 20:17:00,1091,3334,70.62,Swipe Transaction,69972,Baltimore,MD,21224.0,5814,Bad PIN
7486781,2010-01-03 21:23:00,734,4990,5.34,Swipe Transaction,88699,Buffalo,NY,14211.0,5921,Insufficient Balance
7486790,2010-01-03 21:26:00,581,3691,31.84,Swipe Transaction,45496,Kenner,LA,70065.0,7832,Insufficient Balance
7487026,2010-01-04 00:40:00,1963,3317,29.02,Swipe Transaction,88646,Vacaville,CA,95688.0,5812,Bad PIN
7487062,2010-01-04 01:42:00,1082,3308,104.9,Online Transaction,73186,ONLINE,,,4814,Insufficient Balance
7487144,2010-01-04 04:04:00,118,3848,54.97,Online Transaction,87530,ONLINE,,,4900,Insufficient Balance
7487167,2010-01-04 04:38:00,1237,2092,2.6,Swipe Transaction,44578,Waukegan,IL,60085.0,5812,Bad PIN
7487179,2010-01-04 04:58:00,1217,5030,50.46,Swipe Transaction,30286,Phoenix,AZ,85035.0,4814,Insufficient Balance
7487416,2010-01-04 06:47:00,655,4134,58.18,Online Transaction,39021,ONLINE,,,4784,Insufficient Balance
7487438,2010-01-04 06:52:00,1356,5480,60.13,Swipe Transaction,34490,Hancock,WI,54943.0,5719,Insufficient Balance
7487458,2010-01-04 06:58:00,1873,4110,11.3,Swipe Transaction,81833,El Paso,TX,79902.0,5912,Technical Glitch
7487532,2010-01-04 07:12:00,1382,2838,-53.0,Swipe Transaction,59935,Dallas,TX,75254.0,5499,Insufficient Balance
7487689,2010-01-04 07:49:00,996,3310,56.07,Swipe Transaction,70903,Hollywood,FL,33029.0,4111,Insufficient Balance
7487705,2010-01-04 07:53:00,354,3657,57.91,Swipe Transaction,24823,Colorado Springs,CO,80918.0,7538,Bad PIN
7487863,2010-01-04 08:30:00,728,1174,1.56,Swipe Transaction,61195,Independence,MO,64050.0,5541,Technical Glitch
7487865,2010-01-04 08:30:00,1066,1126,10.16,Swipe Transaction,14104,Colmar,PA,18915.0,5411,Insufficient Balance
7487911,2010-01-04 08:39:00,497,2829,-82.0,Swipe Transaction,26810,Sioux Falls,SD,57110.0,5541,Insufficient Balance
7487955,2010-01-04 08:49:00,1678,5921,29.35,Swipe Transaction,75781,Newington,CT,6111.0,5411,Technical Glitch
7487976,2010-01-04 08:53:00,1516,1002,147.03,Online Transaction,726,ONLINE,,,4900,Insufficient Balance
7488020,2010-01-04 09:04:00,1247,2065,86.0,Swipe Transaction,26810,Bakersfield,CA,93308.0,5541,Insufficient Balance
7488032,2010-01-04 09:06:00,321,35,140.0,Swipe Transaction,27092,Stevens Point,WI,54481.0,4829,Bad PIN
7488053,2010-01-04 09:10:00,1026,5398,40.33,Swipe Transaction,34490,Fresno,CA,93727.0,5719,Insufficient Balance
7488125,2010-01-04 09:24:00,1629,4290,25.73,Online Transaction,50404,ONLINE,,,4784,Bad Expiration
7488174,2010-01-04 09:36:00,1740,5885,100.0,Swipe Transaction,27092,Muskego,WI,53150.0,4829,Bad PIN
7488400,2010-01-04 10:25:00,1971,4566,89.6,Swipe Transaction,62697,Oswego,NY,13126.0,4900,Insufficient Balance
7488414,2010-01-04 10:28:00,1983,2907,37.91,Swipe Transaction,86410,Newport Beach,CA,92663.0,5211,Insufficient Balance
7488436,2010-01-04 10:32:00,633,2597,6.83,Online Transaction,47399,ONLINE,,,5815,Bad Card Number
7488461,2010-01-04 10:36:00,972,4166,27.19,Online Transaction,41122,ONLINE,,,4784,Bad Card Number
7488502,2010-01-04 10:48:00,972,4166,27.98,Online Transaction,41122,ONLINE,,,4784,Bad CVV
7488591,2010-01-04 11:05:00,1393,3018,-64.0,Swipe Transaction,43293,San Francisco,CA,94107.0,5499,Insufficient Balance
7488732,2010-01-04 11:35:00,1575,2112,120.0,Swipe Transaction,27092,Osprey,FL,34229.0,4829,Insufficient Balance
7488904,2010-01-04 12:14:00,515,3235,2.16,Swipe Transaction,91264,Longview,TX,75604.0,5814,Bad PIN
7488988,2010-01-04 12:32:00,488,5413,25.18,Swipe Transaction,20519,Corpus Christi,TX,78413.0,5942,Bad PIN
7489048,2010-01-04 12:44:00,1613,4538,61.92,Swipe Transaction,60569,Farmington,ME,4938.0,5300,Insufficient Balance
7489194,2010-01-04 13:12:00,1782,4289,75.55,Swipe Transaction,31893,Santa Ana,CA,92701.0,5311,Insufficient Balance
7489260,2010-01-04 13:24:00,1245,3451,70.49,Swipe Transaction,19155,Gloucester,VA,23061.0,5655,Insufficient Balance
7489273,2010-01-04 13:26:00,1340,3272,14.28,Swipe Transaction,75781,Houston,TX,77064.0,5411,Insufficient Balance
7489288,2010-01-04 13:29:00,870,3257,134.19,Swipe Transaction,28395,Accokeek,MD,20607.0,5541,Insufficient Balance
7489289,2010-01-04 13:29:00,870,3257,136.1,Swipe Transaction,28395,Accokeek,MD,20607.0,5541,Insufficient Balance
7489344,2010-01-04 13:45:00,779,2069,70.99,Swipe Transaction,20561,Pottsboro,TX,75076.0,5912,Insufficient Balance
7489384,2010-01-04 13:56:00,734,4990,61.58,Swipe Transaction,15137,Buffalo,NY,14211.0,5411,Insufficient Balance
7489419,2010-01-04 14:05:00,1888,1016,66.0,Swipe Transaction,26810,Farmington,MN,55024.0,5541,Insufficient Balance
7489452,2010-01-04 14:12:00,1596,995,68.24,Swipe Transaction,75781,North Hills,CA,91343.0,5411,Insufficient Balance
7489501,2010-01-04 14:26:00,1195,3020,43.11,Swipe Transaction,27601,Rochester,MN,55904.0,7538,Technical Glitch
7489503,2010-01-04 14:26:00,1634,2464,37.05,Swipe Transaction,86410,Brownsville,TX,78521.0,5211,Insufficient Balance
7489575,2010-01-04 14:42:00,1855,3021,86.81,Swipe Transaction,86410,San Jose,CA,95123.0,5211,Insufficient Balance
7489606,2010-01-04 14:50:00,1576,5821,-70.0,Swipe Transaction,61195,Waterford,MI,48329.0,5541,Technical Glitch
7489709,2010-01-04 15:11:00,114,3398,-63.0,Swipe Transaction,61195,North Hollywood,CA,91606.0,5541,Insufficient Balance
7489740,2010-01-04 15:19:00,1241,3724,91.34,Swipe Transaction,75781,Wapakoneta,OH,45895.0,5411,Insufficient Balance
7489741,2010-01-04 15:19:00,1444,5965,38.43,Swipe Transaction,76850,Oceanside,NY,11572.0,4121,Bad PIN
7489964,2010-01-04 16:12:00,123,227,66.5,Swipe Transaction,72351,Griffin,GA,30224.0,5541,Insufficient Balance
7490038,2010-01-04 16:27:00,1520,3329,53.63,Swipe Transaction,78793,San Francisco,CA,94112.0,5300,Bad PIN
7490184,2010-01-04 17:06:00,274,2841,-50.0,Swipe Transaction,50867,Washington,DC,20011.0,5541,Technical Glitch
7490317,2010-01-04 18:02:00,1302,5464,68.1,Swipe Transaction,50867,Jefferson,NC,28640.0,5541,Insufficient Balance
7490384,2010-01-04 18:35:00,366,986,84.69,Swipe Transaction,47235,Oshkosh,WI,54901.0,7922,Insufficient Balance
7490615,2010-01-04 20:32:00,1130,2446,114.16,Swipe Transaction,99370,Federal Way,WA,98003.0,5311,Insufficient Balance
7490750,2010-01-04 21:49:00,1654,4276,118.96,Swipe Transaction,69956,New Milford,CT,6776.0,5310,Insufficient Balance
7490768,2010-01-04 22:01:00,1764,2118,3.32,Online Transaction,88459,ONLINE,,,5311,Bad CVV
7490788,2010-01-04 22:11:00,1072,201,82.24,Online Transaction,88459,ONLINE,,,5311,Bad CVV
7490917,2010-01-04 23:52:00,212,4145,85.75,Swipe Transaction,54850,Dallas,TX,75227.0,4814,Bad PIN
7490999,2010-01-05 02:15:00,98,4237,57.19,Swipe Transaction,11468,Johnston City,IL,62951.0,5970,Insufficient Balance
7491013,2010-01-05 02:43:00,1659,3438,68.91,Swipe Transaction,24918,Wauconda,IL,60084.0,4900,Bad PIN
7491058,2010-01-05 04:32:00,1563,5125,0.92,Swipe Transaction,14528,Los Angeles,CA,90004.0,5499,Bad PIN
7491068,2010-01-05 04:48:00,1915,2113,109.15,Swipe Transaction,92437,Monroe,NY,10950.0,5310,Insufficient Balance
7491143,2010-01-05 06:02:00,78,5910,7.31,Swipe Transaction,22204,Los Angeles,CA,90044.0,5541,Bad Zipcode
7491177,2010-01-05 06:12:00,1872,2918,187.29,Swipe Transaction,47219,Marietta,GA,30062.0,8021,Bad PIN
7491270,2010-01-05 06:35:00,847,5581,100.0,Swipe Transaction,27092,Billings,OK,74630.0,4829,Bad PIN
7491408,2010-01-05 07:08:00,1046,3259,54.65,Swipe Transaction,59935,Philadelphia,PA,19146.0,5499,Insufficient Balance
7491422,2010-01-05 07:11:00,1046,3259,54.65,Swipe Transaction,59935,Philadelphia,PA,19146.0,5499,Insufficient Balance
7491451,2010-01-05 07:19:00,1382,2838,63.33,Swipe Transaction,49789,Dallas,TX,75253.0,5541,Insufficient Balance
7491465,2010-01-05 07:23:00,1382,2838,63.33,Swipe Transaction,49789,Dallas,TX,75253.0,5541,Insufficient Balance
7491540,2010-01-05 07:38:00,909,2583,98.0,Swipe Transaction,56431,Olympia,WA,98516.0,5541,Technical Glitch
7491579,2010-01-05 07:45:00,364,4623,77.87,Swipe Transaction,70903,Miami,FL,33193.0,4111,Insufficient Balance
7491608,2010-01-05 07:51:00,373,5389,30.7,Swipe Transaction,3742,Geneva,IN,46740.0,5211,Bad PIN
7491917,2010-01-05 09:04:00,1115,4225,76.43,Swipe Transaction,60569,Flint,TX,75762.0,5300,Insufficient Balance
7492057,2010-01-05 09:34:00,1340,2954,100.0,Swipe Transaction,27092,Houston,TX,77064.0,4829,Insufficient Balance
7492326,2010-01-05 10:31:00,1881,2554,35.07,Swipe Transaction,36934,Chelsea,MI,48118.0,7538,Insufficient Balance
7492476,2010-01-05 11:01:00,1944,1059,42.35,Swipe Transaction,48618,Independence,KY,41051.0,5251,Insufficient Balance
7492593,2010-01-05 11:27:00,1944,33,54.92,Swipe Transaction,48618,Independence,KY,41051.0,5251,Insufficient Balance
